Authors,Title,Year,Keywords,Abstract,Source
Abualhaija S.; Ceci M.; Briand L.,Legal Requirements Analysis: A Regulatory Compliance Perspective,2025,Artificial intelligence (ai); General data protection regulation (gdpr); Large language models (llms); Legal compliance; Machine learning (ml); Natural language processing (nlp); Question-answering (qa),"Modern software has been an integral part of everyday activities in many disciplines and application contexts. Introducing intelligent automation by leveraging artificial intelligence (AI) led to breakthroughs in many fields. The effectiveness of AI can be attributed to several factors, among which is the increasing availability of data. Regulations such as the General Data Protection Regulation (GDPR) in the European Union (EU) are introduced to ensure the protection of personal data. Software systems that collect, process or share personal data are subject to compliance with such regulations. Developing compliant software depends heavily on addressing legal requirements stipulated in applicable regulations, a central activity in the requirements engineering (RE) phase of the software development process. RE is concerned with specifying and maintaining requirements of a system-to-be, including legal requirements. Legal agreements which describe the policies organizations implement for processing personal data can provide an additional source to regulations for eliciting legal requirements. In this chapter, we explore a variety of methods for analysing legal requirements and exemplify them on GDPR. Specifically, we describe possible alternatives for creating machine-analysable representations from regulations, survey the existing automated means for enabling compliance verification against regulations and further reflect on the current challenges of legal requirements analysis. Analysing legal requirements is a core RE activity that relies to a large extent on natural language processing technologies. This chapter contributes with the necessary knowledge required for eliciting, representing and verifying legal requirements. © TheEditor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",Scopus
Aborujilah A.; Al-Othmani A.Z.; Long Z.A.; Hussien N.S.; Ghani D.A.,Conceptual Model for Automating GDPR Compliance Verification Using Natural Language Approach,2022,GDPR; Mobile Applications; Natural Language approach; Privacy Policies compliance; Privacy Policies violation,"Most mobile apps require regular access to sensitive personal information. Regulators are increasingly demanding mobile app makers disclose privacy policies that detail what users' data is gathered and used. Compliance with data privacy and protection regulations must be monitored to reduce legal penalties that may come from unexpected data breaches. Checking and verifying The General Data Protection Regulation (GDPR) Compliance is quite a challenging issue. In this paper, we propose, an extension to be added to the automated GDPR compliance verification tool. This extension shows how the questions about the compliance of mobile applications might be answered based on GDPR standards. The implementation phases of the extension are explained. It includes query processing, document retrieval, passage retrieval, and answer extraction. This paper provides mobile application developers with a better technique of how to monitor users' compliance with mobile application privacy policies.  © 2022 IEEE.",Scopus
Fuchs S.; Dimyadi J.; Witbrock M.; Amor R.,Training on digitized building regulations for automated rule extraction,2023,,"We investigate automated rule extraction from building regulations using a neural semantic parser. This task is regarded as a main requirement to enable automated compliance checking in the built environment. The performance of deep learning models is strongly dependent on the quantity and quality of the training data and the task complexity, which is particularly relevant for domain-specific tasks with limited data and domain-specific terminology. The neural semantic parser is trained using a corpus of LegalRuleML rules, which were manually encoded in previous research. We identify the primary error sources for automated parsing, investigate the importance of data quality and consistency and rework the entire corpus accordingly. Extensive experiments indicate the impact of different inconsistencies. Value conditioning was evaluated to limit the effect of varying granularity, complex expressions, and tacit knowledge. Finally, we draw conclusions about the encoding guidelines and processes from a natural language processing perspective. © 2023 the Author(s).",Scopus
Purushotham N.; Kailashnath C.; Mutis I.,Towards an Intelligent Automated Building Code Compliance System,2024,,"An automated intelligent building code compliance methodology using a flexible and adaptable BIM authoring tool is presented. The method is designed to use minimal computing resources in different contexts of code applications. The innovation utilizes the complete corpus of the building code as input for compliance checking. Current research developments use specific sections of the code that focus only on parts of the building code without making inferences to subsections or other building codes. The approach uses natural language processing techniques to generate an easy-To-process output [simplified comma-separated value (CSV) file] for rapid interpretation and further manipulation for review and modifications of the generated ruleset, thereby increasing the accuracy of the rule when needed. Simultaneously, the approach prevents the recreation of rulesets when inferred sections were previously generated, to ensure the integrity of IBC sections and subsections structure. This paper presents the data extraction and processing approach that generates computer-readable rules using building code paragraphs. Future work will incorporate methods to fully process tables and figures to generate a comprehensive check and inference in compliance. © International Conference on Computing in Civil Engineering 2023.All rights reserved.",Scopus
Zhang R.; El-Gohary N.,"Building information modeling, natural language processing, and artificial intelligence for automated compliance checking",2022,,[No abstract available],Scopus
Cejas O.A.; Azeem M.I.; Abualhaija S.; Briand L.C.,NLP-Based Automated Compliance Checking of Data Processing Agreements Against GDPR,2023,data processing agreement (DPA); natural language processing (NLP); privacy; regulatory compliance; Requirements engineering (RE); the general data protection regulation (GDPR),"When the entity processing personal data (the processor) differs from the one collecting personal data (the controller), processing personal data is regulated in Europe by the General Data Protection Regulation (GDPR) through data processing agreements (DPAs). Checking the compliance of DPAs contributes to the compliance verification of software systems as DPAs are an important source of requirements for software development involving the processing of personal data. However, manually checking whether a given DPA complies with GDPR is challenging as it requires significant time and effort for understanding and identifying DPA-relevant compliance requirements in GDPR and then verifying these requirements in the DPA. Legal texts introduce additional complexity due to convoluted language and inherent ambiguity leading to potential misunderstandings. In this paper, we propose an automated solution to check the compliance of a given DPA against GDPR. In close interaction with legal experts, we first built two artifacts: (i) the 'shall' requirements extracted from the GDPR provisions relevant to DPA compliance and (ii) a glossary table defining the legal concepts in the requirements. Then, we developed an automated solution that leverages natural language processing (NLP) technologies to check the compliance of a given DPA against these 'shall' requirements. Specifically, our approach automatically generates phrasal-level representations for the textual content of the DPA and compares them against predefined representations of the 'shall' requirements. By comparing these two representations, the approach not only assesses whether the DPA is GDPR compliant but it further provides recommendations about missing information in the DPA. Over a dataset of 30 actual DPAs, the approach correctly finds 618 out of 750 genuine violations while raising 76 false violations, and further correctly identifies 524 satisfied requirements. The approach has thus an average precision of 89.1%, a recall of 82.4%, and an accuracy of 84.6%. Compared to a baseline that relies on off-the-shelf NLP tools, our approach provides an average accuracy gain of ≈20 percentage points. The accuracy of our approach can be improved to ≈94% with limited manual verification effort.  © 1976-2012 IEEE.",Scopus
Zhou Y.; She J.; Huang Y.; Li L.; Zhang L.; Zhang J.,A Design for Safety (DFS) Semantic Framework Development Based on Natural Language Processing (NLP) for Automated Compliance Checking Using BIM: The Case of China,2022,automated compliance checking; building information modeling; design for safety; natural language processing; ontology; semantic web,"For design for safety (DFS), automated compliance checking methods have received extensive attention. Although many research efforts have indicated the potential of BIM and ontology for automated compliance checking, an efficient methodology is still required for the interoperability and semantic representation of data from different sources. Therefore, a natural language processing (NLP)-based semantic framework is proposed in this paper, which implements rules-based automated compliance checking for building information modeling (BIM) at the design stage. Semantic-rich information can be extracted from safety regulations by NLP methods, which were analyzed to generate conceptual classes and individuals of ontology and provide a corpus basis for rule classification. The data on BIM was extracted from Revit to a spreadsheet using the Dynamo tool and then mapped to the ontology using the Cellfie tool. The interoperability of different source data was well improved through the isomorphism of information in the framework of semantic integration, causing data processed by the semantic web rule language to be transformed from safety regulations to achieve the purpose that automated compliance checking is implemented in the design documents. The practicability and scientific feasibility of the proposed framework was verified through a 95.21% recall and a 90.63% precision in compliance checking of a case study in China. Compared with traditional compliance checking methods, the proposed framework had high efficiency, response speed, data interoperability, and interaction. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Scopus
Xue X.; Zhang J.,Regulatory information transformation ruleset expansion to support automated building code compliance checking,2022,Automated compliance checking; Automated construction management systems; Automated information extraction; Building design review; Natural language processing; Part-of-speech tagging,"The traditional building code compliance checking process mainly relies on design reviewers to review design documents or models manually. The intensive manual effort needed makes this process time-consuming, costly, and error-prone. Automated compliance checking (ACC) could be a promising upgrade of the traditional manual code compliance checking. With a reduced workload on design reviewers, ACC is cheaper, faster, and immune to human errors. To support ACC, building code requirements need to be represented in a computer-processable format to enable automated reasoning, which will in turn allow an automated assessment of the building design's compliance status with building codes. A major limitation of many existing ACC systems/methods is their limited range of checkable building code requirements. To address that, the state of the art uses pattern matching-based rules to transform building code requirements into computable formats automatically, but the ruleset was developed and tested only on a few chapters of building code requirements. An efficient ruleset expansion method is needed to increase its range of checkable building code requirements at a low cost, to bring ACC systems closer to full deployment. In this paper, the authors proposed a new regulatory information transformation ruleset expansion method for expanding an existing ruleset. This method can expand the range of checkable code requirements of ACC systems without significant manual effort. The proposed ruleset expansion method takes an iterative approach to ensure the generality and validity of new pattern matching-based rules and the quality of information transformation results. The expanded ruleset was tested on generating logic clauses from Chapter 5 of the International Building Code 2015. Compared to the baseline ruleset, the expanded ruleset increased the predicate-level precision, recall, and F1-score of the logic clause generation by 10.44%, 25.72%, and 18.02%, to 95.17%, 96.60%, and 95.88%, respectively. © 2022 Elsevier B.V.",Scopus
Zhang R.; El-Gohary N.,Natural language generation and deep learning for intelligent building codes,2022,Automated compliance checking; Deep learning; Intelligent building code; Natural language generation; Requirement representation,"Many existing automated compliance checking (ACC) systems require the processes of extracting regulatory information from natural-language building-code requirements and transforming the extracted information into computer-processable semantic representations. These processes could, however, be jeopardized by the ambiguous nature of the natural language and the hierarchically complex structures of building-code requirements. To address this problem, this paper proposes the concept of intelligent building code for bypassing the error-prone information extraction and transformation processes. In the proposed intelligent code, the natural-language requirements in the code are connected with highly structured computer-understandable semantic information, which is represented in the form of semantic requirement hierarchies and can be readily used by computers for ACC. The paper also proposes a deep learning-based method to automatically generate such intelligent code. The method leverages the requirement hierarchy representation, a proposed deep learning unit-to-text model for generating requirement sentence segments, and a proposed semantic correspondence score for configuring the segments into requirement sentences. The method was implemented and tested on a dataset from multiple regulatory documents. The generated intelligent requirements were evaluated in terms of both natural-language requirement comprehensibility and correspondence between the natural language and the semantic representation, with the results indicating high performance for the proposed representation and method. The proposed intelligent code will help reduce ACC errors, improve requirement comprehensibility, and facilitate intelligent code analytics. © 2022 Elsevier Ltd",Scopus
Wang Y.; Liu Y.; Cai H.; Wang J.; Zhou X.,An Automated Fire Code Compliance Checking Jointly Using Building Information Models and Natural Language Processing,2023,automated compliance checking (ACC); building information modeling (BIM); fire safety; natural language processing (NLP); spatial geometry checking,"Fire checking is indispensable for guaranteeing the fire safety of buildings as it reviews the compliance of the building with fire codes and regulations. Automated Compliance Checking (ACC) systems that check building data utilizing Building Information Modeling (BIM) against fire codes have emerged as an active field of research. Substantial efforts have focused on analyzing the properties of the building components. However, the analysis of the spatial geometric relationships of building components has received inadequate attention. The present study proposes a novel ACC system leveraging Natural Language Processing (NLP) techniques to review the spatial geometric relationships of building components in BIM models. First, a framework for a BIM-based ACC system is delineated and decomposes ACC into three constituent subtasks: building model parsing, code knowledge translation, and compliance check result reporting. Second, an approach for structured processing of spatial geometric stipulations in fire codes using NLP is presented to review the geometric relationships between components in building models. Finally, the system’s performance is assessed by testing fire code compliance across various building types utilizing BIM models. The empirical findings demonstrate that the system achieves superior recall compared with the manually formulated gold standard, with the ACC system enabling quick, accurate, and comprehensive automated compliance checking. © 2023 by the authors.",Scopus
Wu J.; Xue X.; Zhang J.,"INVARIANT SIGNATURE, LOGIC REASONING, AND SEMANTIC NATURAL LANGUAGE PROCESSING (NLP)-BASED AUTOMATED BUILDING CODE COMPLIANCE CHECKING (I-SNACC) FRAMEWORK",2023,Automated Compliance Checking; Building Codes; Building Information Modeling (BIM); Invariant Signature; Logic Reasoning; Natural Language Processing,"Traditional manual building code compliance checking is costly, time-consuming, and human error-prone. With the adoption of Building Information Modeling (BIM), automation in such a checking process becomes more feasible. However, existing methods still face limited automation when applied to different building codes. To address that, in this paper, the authors proposed a new framework that requires minimal input from users and strives for full automation, namely, the Invariant signature, logic reasoning, and Semantic Natural language processing (NLP)-based Automated building Code compliance Checking (I-SNACC) framework. The authors developed an automated building code compliance checking (ACC) prototype system under this framework and tested it on Chapter 10 of the International Building Codes 2015 (IBC 2015). The system was tested on two real projects and achieved 95.2% precision and 100% recall in non-compliance detection. The experiment showed that the framework is promising in automating building code compliance checking. Compared to the state-of-the-art methods, the new framework increases the degree of automation and saves manual efforts for finding noncompliance cases. COPYRIGHT: © 2023 The author(s).",Scopus
Shynkarenko V.; Zhuchyi L.,Semantic checking of information support for heterogeneous resources of train speed restrictions by ontological means,2023,Conceptual model; Knowledge base; Natural language; Ontology; OWL; Railway; Semantic checking; Speed restriction,"The problem of harmonization and validation of train speed restrictions represented in sources of various formats and railway transport instructions is investigated. Harmonization is carried out by ontological means. The ontology integrates information from the following sources: databases, station drawings, and natural language regulations. The ontologies of the data source and the railway model are enriched with concepts for classifying tables of speed restriction warnings and track defects. Methods and software have been developed for processing tabular format data using automated tools for data wrangling and extraction from sources of various types. Implicit knowledge in the tabular representation of speed restrictions is used to validate these tables and classify them. Semantic checking is carried out using formalized regulations for the maintenance of the track, track works, and automated issuance of speed restrictions warnings. The usage of the ontology will improve the safety of train traffic control by checking the compliance of the speed restrictions and track defects, timely cancellation of restrictions, and checking the validity of manual data entry. The method is illustrated by the integration of data sources such as railway switch and track inspection records and lists, warning records books, and forms for train drivers. © 2023 River Publishers. All rights reserved.",Scopus
He C.; He W.; Liu M.; Leng S.; Wei S.,Enriched Construction Regulation Inquiry Responses: A Hybrid Search Approach for Large Language Models,2025,Construction regulation; Large language model (LLM); Quality compliance check; Retrieval-augmented generation (RAG); Term frequency-inverse document frequency (TF-IDF),"The applicability of existing automated compliance check tools in construction is limited, as they are insufficient to provide end-to-end responses given the fragmented and unstructured compliance checking requirements in practice. We explored the potential of large language models (LLMs) to fill the gap by proposing an improved retrieval-augmented generation (RAG) framework to conduct question-answering (QA)-based construction quality checks. The framework contains a novel hybrid search engine that integrates term frequency-inverse document frequency (TF-IDF)-based keyword search with text-embedding search to facilitate domain semantic-aware regulation information extraction. Subsequently, we established a RAG-based chatbot that enables construction managers to obtain construction quality check results and justification directly and precisely via conversations. The framework was tested using 110 real-world QA scenarios covering three concrete structure regulations of 148,170 words. Results show that the enhanced system has improved 15.1% and 11.2% in hit rate and mean reciprocal rank (MRR) compared with naïve RAG. The natural language responses demonstrate more precise and faithful results than conventional LLMs. Our research will contribute to the body of knowledge by proposing an improved RAG system to enhance the practicability of automated compliance checks. It also will push the boundary of LLM applications in construction by revealing how domain-specific terminologies facilitate knowledge extraction in LLM systems. © 2025 American Society of Civil Engineers.",Scopus
Tang X.; Xie Y.-S.; Zhang C.; Wang B.; Zhang H.,A Method for Automated Compliance Check for 3D Design Result Based on Knowledge Graph; [基于知识图谱的三维设计成果自动合规性检查方法],2023,automated checking method; compliance check; highway 3D design; knowledge graph; road engineering,"In order to ensure that the building information model (BIM) of highway engineering conforms to the requirement of design specifications, and to improve the automation level of highway design result compliance check, the application of the compliance check in the engineering field is relied on, based on the knowledge graph technology, the framework of automated compliance check system for highway 3D design result is proposed. First, based on the highway design specifications, through the work of data pre-processing, information extraction and graph generation, the seven-step method is used to explore the method for road design knowledge graph construction. Then, based on the IFC data storage standard of BIM technical standard, the method of BIM data classification and pertinence extraction for road design knowledge graph network are studied. Finally, by studying the knowledge structure of road design knowledge graph and the structure of BIM data, the mapping relationship between the compliance check rules and the model data is established, the matching algorithm of BIM and compliance check rules for highway engineering is proposed. At the same time, through the combination of natural language processing (NLP) technology and semantic matching, the practical method of automated question answering in highway design is further explored on the basis of highway design knowledge atlas. Based on the above theoretical framework, an automated compliance check system for highway 3D design result is designed and developed. The feasibility and accuracy of the system are verified by a practical case. The result shows that the automated compliance check system of highway 3D design result can provide the method reference for the compliance check of highway 3D design result, it is of great significance to improve the quality, efficiency and accuracy of the highway design result compliance check, and it also puts forward some thoughts on the follow-up application challenge, renewal and maintenance of the system in China. © 2023 Editorial Department of Journal of Highway and Transportation Research and Development. All rights reserved.",Scopus
Sangaroonsilp P.; Choetkiertikul M.; Dam H.K.; Ghose A.,An empirical study of automated privacy requirements classification in issue reports,2023,Deep learning models; Issue reports; Issues classification; Machine learning; Natural language processing; Privacy; Privacy issues classification,"The recent advent of data protection laws and regulations has emerged to protect privacy and personal information of individuals. As the cases of privacy breaches and vulnerabilities are rapidly increasing, people are aware and more concerned about their privacy. These bring a significant attention to software development teams to address privacy concerns in developing software applications. As today’s software development adopts an agile, issue-driven approach, issues in an issue tracking system become a centralised pool that gathers new requirements, requests for modification and all the tasks of the software project. Hence, establishing an alignment between those issues and privacy requirements is an important step in developing privacy-aware software systems. This alignment also facilitates privacy compliance checking which may be required as an underlying part of regulations for organisations. However, manually establishing those alignments is labour intensive and time consuming. In this paper, we explore a wide range of machine learning and natural language processing techniques which can automatically classify privacy requirements in issue reports. We employ six popular techniques namely Bag-of-Words (BoW), N-gram Inverse Document Frequency (N-gram IDF), Term Frequency-Inverse Document Frequency (TF-IDF), Word2Vec, Convolutional Neural Network (CNN) and Bidirectional Encoder Representations from Transformers (BERT) to perform the classification on privacy-related issue reports in Google Chrome and Moodle projects. The evaluation showed that BoW, N-gram IDF, TF-IDF and Word2Vec techniques are suitable for classifying privacy requirements in those issue reports. In addition, N-gram IDF is the best performer in both projects. © 2023, The Author(s).",Scopus
Kruiper R.; Konstas I.; Gray A.J.G.; Sadeghineko F.; Watson R.; Kumar B.,Taking stock: a Linked Data inventory of Compliance Checking terms derived from Building Regulations,2023,Automated Compliance Checking; Knowledge Graph; Linked Data; Natural Language Processing,"Compliance Checking (CC) would be a lot easier if we could automatically map between (1) terms that occur in building regulations and (2) elements of buildings and building products. However, the terminology used in the regulations is vastly different from the terminology found in Building Information Models (BIM). We are therefore forced to somehow shoehorn the vocabulary of regulatory terms into a set of classes that may well be several orders of magnitude smaller. This paper aims to reduce the gap between terms found verbatim in the regulations, and the classes that exist in Linked Data Vocabularies in Architecture and Construction. We explore the automated extraction of domain terminology from building regulations, and interlink the resulting terms with existing controlled vocabularies like Uniclass. The resulting Knowledge Graph (KG) can be used to suggest relevant and related domain terminology, which improves collecting the inventory of Linked Data terms required for CC. © 2023 Copyright for this paper by its authors.",Scopus
Yu P.; Xu T.; Sun W.; Chen Y.; Yu L.; Zhang W.,"Detecting privacy compliance of mobile applications from the perspective of the ""minimum necessary"" principle; [“最小必要”原则视角检测移动应用程序的隐私合规性]",2024,App; large language model; minimum necessary principle; privacy policy,"To comply with legal requirements for personal data privacy protection, mobile App developers typically disclose their data collection practices to users through privacy policies. Researchers have proposed various methods using natural language processing (NLP) techniques to analyze privacy policy texts and perform compliance checks. However, most existing studies focus on principles like transparency, openness, and legality, leaving a gap in the evaluation of the‘minimum necessary’principle. For this purpose, a framework called MNPD (minimum necessary principle detection) was proposed for automated compliance checking of applications from the perspective of the‘minimum necessary’principle. Initially, a multi-label text classification model categorized the target App based on its service type to determine the range of‘minimum necessary information’for different App categories. Then, prompt words were constructed to guide the large language model in extracting data collection practices of the App under its basic business functionality mode, transforming them into privacy statement triples and standardizing them. Finally, the compliance checking model conducted consistency checks on the text representation of the target App and evaluated its adherence to the‘minimum necessary’principle. The experimental results show that the proposed method achieves 86.20% F1 score in the automated analysis of 101‘Online Audio-Visual’Apps obtained from Huawei’s application market. © 2024 Beijing Xintong Media Co., Ltd.. All rights reserved.",Scopus
Yang F.; Zhang J.,Prompt-based automation of building code information transformation for compliance checking,2024,Automated compliance checking; Building code; Information transformation; Large language models (LLMs); Natural language processing; Prompt engineering,"Transforming building code information into a machine-processable format is essential for automated compliance checking, yet it presents significant challenges. A prompt-based framework was developed to automate the conversion into a logic programming language. Its effectiveness was assessed by testing the framework on 51 requirements from the International Building Code (IBC) 2015, achieving 97.37 % precision and 95.88 % recall at the logic clause level, with only 2 % of the data used for training. Further testing on crash report transformation enhanced efficiency, reducing the average code generation time to approximately 60.8 s, thereby achieving a 27.8 % time savings compared to existing rule-based methods. This paper contributes to the body of knowledge by introducing an effective, versatile, and user-friendly approach to automated building code information transformation, markedly decreasing the reliance on training data, time, and manual efforts. © 2024",Scopus
Alnuzha M.; Bloch T.,THE ROLE OF MACHINE LEARNING IN AUTOMATED CODE CHECKING – A SYSTEMATIC LITERATURE REVIEW,2025,Automated Code Compliance; Building Information Modeling (BIM); Machine Learning (ML); Rule-based checking,"SUMMARY: Building design must adhere to numerous codes, laws, and regulations. In practice, despite the available tools for Automated Code Checking (ACC) and the extensive research in the field, checking whether a given design complies with all relevant regulatory requirements remains a manual and time-consuming task. A comprehensive checking system that provides highly automated solutions for a wide range of regulations remains a distant goal. Recent studies have underscored the potential of engaging advanced technologies like Machine Learning (ML) and Natural Language Processing (NLP) to enhance ACC abilities. Hence, this work aims to review recent advancements in implementing ML technologies in code compliance checking, identify knowledge gaps, and suggest future research directions. By implementing a systematic literature review methodology, we identify three key research areas within the domain: processing regulatory text, processing design information, and an overall checking mechanism. Existing efforts explore each of these areas using a variety of ML algorithms to enhance their effectiveness. Despite the notable advancements, challenges persist due to the complexity of regulations, ambiguity of legal texts, and the scarcity of training data, all of which limit the scalability of the presented approaches. Additionally, while ML enhances flexibility by learning from data rather than relying on hardcoded rules, it introduces uncertainties in decision-making processes critical to building permitting. The review highlights the potential for hybrid approaches that combine the strengths of both rule-based systems and ML models to effectively address these challenges. © 2025 The author(s).",Scopus
Li S.; Wang J.; Xu Z.,Automated compliance checking for BIM models based on Chinese-NLP and knowledge graph: an integrative conceptual framework,2025,Automatic checking; Building information modeling; Deep learning; Knowledge graph; Natural language processing,"Purpose: The compliance checking of Building Information Modeling (BIM) models is crucial throughout the lifecycle of construction. The increasing amount and complexity of information carried by BIM models have made compliance checking more challenging, and manual methods are prone to errors. Therefore, this study aims to propose an integrative conceptual framework for automated compliance checking of BIM models, allowing for the identification of errors within BIM models. Design/methodology/approach: This study first analyzed the typical building standards in the field of architecture and fire protection, and then the ontology of these elements is developed. Based on this, a building standard corpus is built, and deep learning models are trained to automatically label the building standard texts. The Neo4j is utilized for knowledge graph construction and storage, and a data extraction method based on the Dynamo is designed to obtain checking data files. After that, a matching algorithm is devised to express the logical rules of knowledge graph triples, resulting in automated compliance checking for BIM models. Findings: Case validation results showed that this theoretical framework can achieve the automatic construction of domain knowledge graphs and automatic checking of BIM model compliance. Compared with traditional methods, this method has a higher degree of automation and portability. Originality/value: This study introduces knowledge graphs and natural language processing technology into the field of BIM model checking and completes the automated process of constructing domain knowledge graphs and checking BIM model data. The validation of its functionality and usability through two case studies on a self-developed BIM checking platform. © 2024, Emerald Publishing Limited.",Scopus
Fuchs S.; Witbrock M.; Dimyadi J.; Amor R.,Neural Semantic Parsing of Building Regulations for Compliance Checking,2022,,"Computerising building regulations to allow reasoning is one of the main challenges in automated compliance checking in the built environment. While there has been a long history of translating regulations manually, in recent years, natural language processing (NLP) has been used to support or automate this task. While rule- and ontology-based information extraction and transformation approaches have achieved accurate translations for narrow domains and specific regulation types, machine learning (ML) promises increased scalability and adaptability to new regulation styles. Since ML usually requires many annotated examples as training data, we take advantage of the long history of building code computerisation and use a corpus of manually translated regulations to train a transformer-based encoder-decoder model. Given a relatively small corpus, the model learns to predict the logical structure and extracts entities and relations reasonably well. While the translation quality is not adequate to fully automate the process, the model shows the potential to serve as an auto-completion system and to identify manually translated regulations that need to be reviewed. © Published under licence by IOP Publishing Ltd.",Scopus
Shezan F.H.; van Dam M.; Su Z.; Kang M.; Phair N.; Thomas P.W.; Cao Y.; Tian Y.,CHKPLUG: Checking GDPR Compliance of WordPress Plugins via Cross-language Code Property Graph,2023,,"WordPress, a well-known content management system (CMS), provides so-called plugins to augment default functionalities. One challenging problem of deploying WordPress plugins is that they may collect and process user data, such as Personal Identifiable Information (PII), which is usually regulated by laws such as General Data Protection Regulation (GDPR). To the best of our knowledge, no prior works have studied GDPR compliance in WordPress plugins, which often involve multiple program languages, such as PHP, JavaScript, HTML, and SQL. In this paper, we design CHKPLUG, the first automated GDPR checker of WordPress plugins for their compliance with GDPR articles related to PII. The key to CHKPLUG is to match WordPress plugin behavior with GDPR articles using graph queries to a novel cross-language code property graph (CCPG). Specifically, t he C CPG m odels b oth i nline l anguage integration (such as PHP and HTML) and key-value-related connection (such as HTML and JavaScript). CHKPLUG reports a GDPR violation if certain patterns are found in the CCPG. We evaluated CHKPLUG with human-annotated WordPress plugins. Our evaluation shows that CHKPLUG achieves good performance with 98.8% TNR (True Negative Rate) and 89.3% TPR (True Positive Rate) in checking whether a certain WordPress plugin complies with GDPR. To investigate the current surface of the marketplace, we perform a measurement analysis which shows that 368 plugins violate data deletion regulations, meaning plugins do not provide any functionalities to erase user information from the website. © 2023 30th Annual Network and Distributed System Security Symposium, NDSS 2023. All Rights Reserved.",Scopus
Donkers A.; Petrova E.,Converting Fire Safety Regulations to SHACL Shapes Using Natural Language Processing,2024,automated compliance checking; fire safety; Linked Building Data; Natural Language Processing; Ontologies; Semantic Web; SHACL,"Automated fire safety compliance checks require a digital representation of regulations; however, digitizing the regulations and capturing semantic concepts from regulatory texts remain challenging. This paper investigates whether the linguistic structure of a sentence can be used to automatically generate Shapes Constraint Language (SHACL) representations from natural language and enable standard-based checking and conformance of Building Information Models with fire safety requirements. We combine Semantic Web technologies and Natural Language Processing techniques to extract linguistic structures from text and automatically map the text to predefined SHACL templates. The results show that we can convert simple regulations and contextual regulations to SHACL shapes automatically. The latter enables performing automated compliance checking on Linked Building Data. Future research aims to improve the method and enable the conversion of more complex sentence structures.  © 2024 Copyright for this paper by its authors.",Scopus
Kruiper R.; Kumar B.; Watson R.; Sadeghineko F.; Gray A.; Konstas I.,A platform-based Natural Language processing-driven strategy for digitalising regulatory compliance processes for the built environment,2024,Automated Compliance Checking; Digital Regulatory Compliance; Knowledge Graph; Machine Learning; Natural Language Processing; Semantic Web,"The digitalisation of the regulatory compliance process has been an active area of research for several decades. However, more recently the level of activities in this area has increased considerably. In the UK, the tragic incident of Grenfell fire in 2017 has been a major catalyst for this as a result of the Hackitt report's recommendations pointing a lot of the blame on the broken regulatory regime in the country. The Hackitt report emphasises the need to overhaul the building regulations, but the approach to do so remains an open research question. Existing work in this space tends to overlook the processing of actual regulatory documents, or limits their scope to solving a relatively small subtask. This paper presents a new comprehensive platform approach to the digitalisation of the regulatory compliance processing. We present i-ReC (intelligent Regulatory Compliance), a platform approach to digitalisation of regulatory compliance that takes into consideration the enormous diversity of all the stakeholders’ activities. A historical perspective on research in this area is first presented to put things in perspective which identifies the challenges in such an endeavour and identifies the gaps in state-of-the-art. After enumerating all the challenges in implementing a platform-based approach to digitalising the regulatory compliance process, the implementation of some parts of the platform is described. Our research demonstrates that the identification and extraction of all relevant requirements from the corpus of several hundred regulatory documents is a key part of the whole process which underlies the entire process from authoring to eventually compliance checking of designs. Some of the issues that need addressing in this endeavour include ambiguous language, inconsistent use of terms, contradicting requirements and handling multi-word expressions. The implementation of these tools is driven by NLP, ML and Semantic Web technologies. A semantic search engine was developed and validated against other popular and comparable engines with a corpus of 420 (out of about 800) documents used in the UK for compliance checking of building designs. In every search scenario, our search engine performed better on all objective criteria. Limitations of the approach are discussed which includes the challenges around licensing for all the documents in the corpus. Further work includes improving the performance of SPaR.txt (the tool created to identify multi-word expressions) as well as the information retrieval engine by increasing the dataset and providing the model with examples from more diverse formats of regulations. There is also a need to develop and align strategies to collect a comprehensive set of domain vocabularies to be combined in a Knowledge Graph. © 2024 The Authors",Scopus
Schuk V.; Pombo Jiménez M.E.; Martin U.,Technical specifications to meet the requirements of an Automatic Code Compliance Checking tool and current developments in infrastructure construction,2022,Automatic Code Compliance Checking; BIM; Classification of regulation rules; Formalization of engineering knowledge; Graph-based data modeling; Structured infrastructure data,"Building Information Modeling has revolutionized the construction industry by, for example, contributing to the automation of different activities related to the design, planning, and construction of civil works. Tasks such as the review of construction-related codes and regulations, which today still require a great deal of human effort, have begun to be automated through the development of digital applications and tools, thus resulting in the BIM use case Automated Code Compliance Checking (ACCC). So far, however, the research and development around this topic have been focused mainly on the building area, leaving a gap for the infrastructure sector. With this article, the authors intend to contribute to closing this gap, by providing an overview of the current state of development of ACCC tools in infrastructure construction. This overview supports the identification of challenges and requirements for the development of such tools, which are also discussed in detail in the current work. Finally, the author's considerations regarding the formalization and structuring of the engineering knowledge and infrastructure data required for the development of ACCC tools, as well as its mapping in a graph database, which allows access to all the necessary and relevant information for the code checking process, are presented. The result of the research carried out is the detailed structuring of the regulations and their rules from infrastructure construction and the possible modeling implementation in a graph database. In practice, this should help the leading software manufacturers in cooperation with infrastructure engineers, to develop a full-fledged ACCC tool. © 2022 The Authors",Scopus
