Title,Authors,Year,DOI or URL,Abstract,Source,DOI,DOI/URL,title,authors,year,doi or url,abstract,source,doi,doi/url
Automated rule-based safety inspection and compliance checking of temporary guardrail systems in construction:contentReference[oaicite:6]{index=6},K. W. Johansen; J. Teizer; C. Schultz:contentReference[oaicite:7]{index=7},2024:contentReference[oaicite:8]{index=8},10.1016/j.autcon.2024.105849:contentReference[oaicite:9]{index=9},This paper proposes an automated rule-based inspection and compliance-checking system that can assist in detecting faulty guardrails in live work environments. The classification approach utilizes safety design and mimics the steps of human guardrailing compliance assessment... This first-of-a-kind classification approach is reliable and scalable and successfully classifies various scenarios of guardrail systems for fall protection:contentReference[oaicite:10]{index=10}.,Automation in Construction:contentReference[oaicite:11]{index=11},,,,,,,,,,
Rule capture of automated compliance checking of building requirements: a review:contentReference[oaicite:12]{index=12},Zijing Zhang; Ling Ma; Tim Broyd:contentReference[oaicite:13]{index=13},2023:contentReference[oaicite:14]{index=14},10.1680/jsmic.23.00005:contentReference[oaicite:15]{index=15},"Automated compliance checking (ACC) was proposed as a solution to the error-prone and time-consuming manual compliance-checking process. Rule capture is a crucial bottleneck of ACC. This paper conducts a systematic literature review and identifies challenges in rule capture for ACC... The findings reveal that existing representations cannot handle 'unknowns' and 'side effects', lack ability to deal with ambiguous rules, and are often restricted by the rule engine or data model:contentReference[oaicite:16]{index=16}.",Proc. ICE – Smart Infrastructure and Construction:contentReference[oaicite:17]{index=17},,,,,,,,,,
CODE-ACCORD: A Corpus of building regulatory data for rule generation towards automatic compliance checking:contentReference[oaicite:18]{index=18},Hansi Hettiarachchi; Amna Dridi; Mohamed M. Gaber; Pouyan Parsafard; Nicoleta Bocaneala; Katja Breitenfelder; Gonçal Costa; Maria M. Hedblom; Mihaela Juganaru-Mathieu; Thamer Mecharnia; Sumee Park; He Tan; Abdel-Rahman H. Tawil; Edlira Vakaj:contentReference[oaicite:19]{index=19},2025:contentReference[oaicite:20]{index=20},10.1038/s41597-024-04320-x:contentReference[oaicite:21]{index=21},"Automatic Compliance Checking (ACC) necessitates automating the interpretation of building regulations. We introduce CODE-ACCORD, a dataset of 862 sentences from building regulations of England and Finland. Each sentence was manually annotated with entities and relations to facilitate machine-readable rule generation. The final dataset comprises thousands of entities and relations, serving as a robust ground truth for applying ML and NLP techniques to ACC:contentReference[oaicite:22]{index=22}:contentReference[oaicite:23]{index=23}.",Scientific Data:contentReference[oaicite:24]{index=24},,,,,,,,,,
Moving automated compliance checking to the operational phase of the building life-cycle: analysis and feasibility study in the UK:contentReference[oaicite:25]{index=25},Thomas Beach; Jonathan Yeung; Ali Ghorghi; Yacine Rezgui:contentReference[oaicite:26]{index=26},2024:contentReference[oaicite:27]{index=27},10.1080/15623599.2024.2366727:contentReference[oaicite:28]{index=28},"Construction regulations ensure baseline safety for built assets. Formal compliance checks occur at defined life-cycle points and often lack automation. This paper extends compliance checking into the operational phase of buildings using automated/semi-automated data capture and analysis. Findings show that whole-life compliance checking is vital but impractical through purely manual inspections, and identify viable use cases and technologies for an automated approach:contentReference[oaicite:29]{index=29}:contentReference[oaicite:30]{index=30}.",International Journal of Construction Management:contentReference[oaicite:31]{index=31}:contentReference[oaicite:32]{index=32},,,,,,,,,,
A SHACL-Based Approach for Enhancing Automated Compliance Checking with RDF Data:contentReference[oaicite:33]{index=33},Joseph Anim; Livio Robaldo; Adam Z. Wyner:contentReference[oaicite:34]{index=34},2024:contentReference[oaicite:35]{index=35},10.3390/info15120759:contentReference[oaicite:36]{index=36},"Automated Compliance Checking (ACC) is increasingly important for enforcing legal regulations. This paper leverages Semantic Web technologies, focusing on executing SHACL-SPARQL rules on RDF data. The approach addresses limitations of traditional ACC by handling nuanced temporal and aggregate requirements in legal reasoning. A case study on regulations with aggregate and temporal facets demonstrates the effectiveness of the proposed solution in improving ACC via standardized, interoperable Semantic Web methods:contentReference[oaicite:37]{index=37}:contentReference[oaicite:38]{index=38}.",Information (MDPI):contentReference[oaicite:39]{index=39},,,,,,,,,,
"Object-centred automated compliance checking: a novel, bottom-up approach:contentReference[oaicite:40]{index=40}",Omar Doukari; David Greenwood; Kay Rogage; Mohamad Kassem:contentReference[oaicite:41]{index=41},2022:contentReference[oaicite:42]{index=42},10.36680/j.itcon.2022.017:contentReference[oaicite:43]{index=43},"Building Information Modelling (BIM) represents built assets as objects with identity, attributes, and relations, enabling new compliance approaches. This paper proposes a bottom-up object-centred method for automated model checking, using a simulated annealing-inspired classification. A prototype demonstrates four key processes (content validation, model completeness, smart object, and design option checking) and satisfies desired compliance checking characteristics. Case studies show the approach saves around 125 minutes per object compared to manual methods:contentReference[oaicite:44]{index=44}:contentReference[oaicite:45]{index=45}.",Journal of IT in Construction (ITcon):contentReference[oaicite:46]{index=46},,,,,,,,,,
Automated code compliance checking research based on BIM and knowledge graph:contentReference[oaicite:47]{index=47},Junlong Peng; Xiangjun Liu:contentReference[oaicite:48]{index=48},2023:contentReference[oaicite:49]{index=49},10.1038/s41598-023-34342-1:contentReference[oaicite:50]{index=50},"Traditional drawing reviews rely on experts, but this study achieves automatic code compliance checking by combining BIM and knowledge graphs. Regulatory text is converted into a computer-readable structured language using NLP to form a human–machine-readable knowledge graph. BIM model information is extracted and mapped to compliance rules. An example validates that this method effectively addresses the ""manual dependency"" and ""inefficiency"" issues in the review process:contentReference[oaicite:51]{index=51}:contentReference[oaicite:52]{index=52}.",Scientific Reports:contentReference[oaicite:53]{index=53},,,,,,,,,,
Knowledge-Informed Semantic Alignment and Rule Interpretation for Automated Compliance Checking:contentReference[oaicite:54]{index=54},Z. Zheng; Y. C. Zhou; X. Z. Lu; J. R. Lin:contentReference[oaicite:55]{index=55},2022:contentReference[oaicite:56]{index=56},10.1016/j.autcon.2022.104524:contentReference[oaicite:57]{index=57},"Automated rule checking (ARC) in construction requires intelligent rule interpretation from regulatory text and alignment of concepts across models and regulations. This paper presents a knowledge-informed framework using NLP to bridge semantic gaps between design BIM models and textual regulations. An ontology captures domain knowledge (concepts, synonyms, constraints). Semantic alignment and conflict resolution techniques, aided by domain knowledge and unsupervised learning, enhance rule interpretation. The method generates SPARQL queries for model checking, enabling interpretation of complex rules with implicit data. Experiments show ~90% accuracy, significantly outperforming keyword matching, and the automated rule interpretation is ~5× faster than manual expert interpretation:contentReference[oaicite:58]{index=58}:contentReference[oaicite:59]{index=59}.",Automation in Construction:contentReference[oaicite:60]{index=60},,,,,,,,,,
Automated Compliance Checking System for Structural Design Codes in a BIM Environment:contentReference[oaicite:61]{index=61},Wonhui Goh; Jaeguk Jang; Sang I. Park; Bong-Hyuck Choi; Heuiseok Lim; Goangseup Zi:contentReference[oaicite:63]{index=63},2024:contentReference[oaicite:64]{index=64},10.1007/s12205-024-1121-5:contentReference[oaicite:65]{index=65},"This study proposes a framework to develop an ACC system for verifying structural calculations in openBIM format. The framework includes: (1) classifying design codes by structural component and limit state, (2) preparing a structural model in IFC, (3) interpreting design code conditions into a machine-readable rule language, and (4) designing an ACC system focusing on rule flow in structural codes. A detailed example uses ifcOWL, SWRL, and a Drools engine to check a prestressed concrete bridge design. The ACC system successfully verified the design example. The framework can be adapted for various codes and user requirements in structural engineering:contentReference[oaicite:66]{index=66}:contentReference[oaicite:67]{index=67}.",KSCE Journal of Civil Engineering:contentReference[oaicite:68]{index=68}:contentReference[oaicite:69]{index=69},,,,,,,,,,
NLP-based Automated Compliance Checking of Data Processing Agreements against GDPR:contentReference[oaicite:70]{index=70},Orlando Amaral Cejas; Muhammad I. Azeem; Sallam Abualhaija; Lionel Briand:contentReference[oaicite:71]{index=71}:contentReference[oaicite:72]{index=72},2023:contentReference[oaicite:73]{index=73},10.1109/TSE.2023.3288901:contentReference[oaicite:74]{index=74},"When a data processor differs from the data controller, GDPR mandates a Data Processing Agreement (DPA). Ensuring a DPA complies with GDPR is challenging due to the effort in mapping GDPR requirements to the DPA. This paper presents an automated solution using NLP to check a given DPA against GDPR “shall” requirements. It extracts requirements from GDPR and creates a glossary of legal concepts, then automatically generates representations of the DPA text and compares them to the GDPR requirements. The approach detects non-compliance and suggests missing information in the DPA. In experiments on 30 real DPAs, it achieved ~89% precision, ~82% recall, and ~84% accuracy, improving accuracy by ~20 percentage points over a baseline and reaching ~94% with minimal manual verification:contentReference[oaicite:75]{index=75}:contentReference[oaicite:76]{index=76}.",IEEE Transactions on Software Engineering:contentReference[oaicite:77]{index=77},,,,,,,,,,
Semantic web-based automated compliance checking with integration of Finite Element analysis:contentReference[oaicite:78]{index=78},Panagiotis Patlakas; Ioannis P. Christovasilis; Lorenzo Riparbelli; Franco K. T. Cheung; Edlira Vakaj,2024:contentReference[oaicite:81]{index=81},10.1016/j.aei.2024.102448:contentReference[oaicite:82]{index=82},"Automatic Compliance Checking (ACC) is a promising approach for ensuring building and planning regulations compliance, especially with BIM/IFC. However, computational analysis methods like Finite Element Analysis (FEA) have seen little integration in ACC. This work presents a holistic approach that embeds FEA results into IFC and uses a Semantic Web-based system for ACC. A top-level Building Compliance Ontology (BCO) is developed to represent regulatory statements (not just building components). The approach is evaluated on a modular steel structure’s code compliance: an open-source FEA solver provides results which are integrated via middleware, BCO is extended for structural engineering, and compliance is automatically checked with SHACL scripts in a Semantic Web environment:contentReference[oaicite:83]{index=83}:contentReference[oaicite:84]{index=84}.",Advanced Engineering Informatics:contentReference[oaicite:85]{index=85},,,,,,,,,,
Knowledge-informed semantic alignment and rule interpretation for automated compliance checking,Zhe Zheng; Yu-Cheng Zhou; Xin-Zheng Lu; Jia-Rui Lin,2022,,"As an essential procedure to improve design quality in the construction industry, automated rule checking (ARC) requires intelligent rule interpretation from regulatory texts and precise alignment of concepts from different sources. However, there still exists semantic gaps between design models and regulatory texts, hindering the exploitation of ARC. Thus, a knowledge-informed framework for improved ARC is proposed based on natural language processing. Within the framework, an ontology is first established to represent domain knowledge, including concepts, synonyms, relationships, constraints, etc. Then, semantic alignment and conflict resolution are introduced to enhance the rule interpretation process based on predefined domain knowledge and unsupervised learning techniques:contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}.",Automation in Construction,10.1016/j.autcon.2022.104524,,,,,,,,,
Automated code compliance checking research based on BIM and knowledge graph,Junlong Peng; Xiangjun Liu,2023,,"Automated code compliance checking plays an important role in moving the construction industry forward. While traditional drawing review relies on the identification of industry experts, the purpose of this study is to realize automatic code review by using BIM technology and knowledge graph technology. The method is based on knowledge graph to transform the specification provisions involved in the review of drawings into a computer-recognizable structured language using natural language processing technology to form a human–machine-readable knowledge graph pattern. For the review of BIM models, the BIM model information is exported and the global resource description framework of the building model is obtained in Protégé, and the review report is finally obtained after mapping rules and review rules. Finally, the feasibility of the method is verified by an example:contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}.",Scientific Reports,10.1038/s41598-023-34342-1,,,,,,,,,
Rule capture of automated compliance checking of building requirements: a review,Zijing Zhang; Ling Ma; Tim Broyd,2023,,"In the architectural, engineering and construction industry, building design needs to be checked against regulations before it can be finalised and progress to the construction stage. The traditional manual compliance-checking process is error prone and time consuming. As a solution, automated compliance checking (ACC) was proposed. Rule capture is a crucial bottleneck of ACC. Despite many studies in this domain, no research has synthesised the themes and identified future research opportunities. This paper aims to fill this gap by conducting a systematic literature review and identifying challenges facing this field. The findings revealed that the rule capture process had attracted interest in the past years, and more semi-automated and automated methods have been proposed. The current representation development process lacks a methodological backdrop... Further research is required to address these issues:contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}.",Proceedings of the ICE – Smart Infrastructure and Construction,10.1680/jsmic.23.00005,,,,,,,,,
Compliance Checking on Topological Spatial Relationships of Building Elements Based on Building Information Models and Ontology,Xuefeng Zhao; Lingli Huang; Zhe Sun; Xiongtao Fan; Meng Zhang,2023,,"Compliance checking on the topological spatial relationships of building elements is vital for ensuring the safety and the quality of buildings. However, the complex topological spatial relationships of buildings are not usually expressed in the design scheme directly. Manual checking is still needed to analyze the design scheme and extract the spatial relationships. Such manual checking is always time consuming and prone to error. Therefore, this study has proposed a compliance checking method based on a building information model (BIM) and building ontologies for the automatic checking of topological spatial relationships. Firstly, the topological spatial relationships are well captured and represented according to the location relation of building elements... The authors have validated the proposed method through a case study. The results show that the proposed method could help to achieve automatic compliance checking on topological spatial relationships of building elements:contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7}.",Sustainability,10.3390/su151410901,,,,,,,,,
NLP-based Automated Compliance Checking of Data Processing Agreements against GDPR,Orlando Amaral Cejas; Muhammad Ilyas Azeem; Sallam Abualhaija; Lionel Briand,2023,,"When the entity processing personal data (the processor) differs from the one collecting personal data (the controller), processing personal data is regulated in Europe by the GDPR through data processing agreements (DPAs). Checking the compliance of DPAs contributes to the compliance verification of software systems as DPAs are an important source of requirements... However, manually checking whether a given DPA complies with GDPR is challenging as it requires significant time and effort. In this paper, we propose an automated solution to check the compliance of a given DPA against GDPR... our approach automatically generates phrasal-level representations for the textual content of the DPA and compares them against predefined representations of the “shall” requirements... the approach not only assesses whether the DPA is GDPR compliant but it further provides recommendations about missing information in the DPA:contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9}.",IEEE Transactions on Software Engineering,10.1109/TSE.2023.3288901,,,,,,,,,
Optimizing automated compliance checking with ontology-enhanced natural language processing: Case in the fire safety domain,Yian Chen; Huixian Jiang,2024,,"The fire safety compliance checking (FSCC) plays a crucial role in ensuring the quality of fire engineering design and eliminating inherent fire hazards. It requires an objective and rational interpretation of fire regulations. However, the texts of fire regulations are filled with numerous rules related to spatial limitations, which pose a significant challenge in interpreting them. The current method of interpreting these rules mostly relies on manual translation, which is not efficient. To address this issue, this study proposes an innovative automated framework for interpreting rules by combining ontology technology with natural language processing (NLP)... The tree structure is then mapped to logical clauses based on semantic consistency, thereby improving the efficiency of interpretation. Experimental results demonstrate that the architecture achieves an F1 score of 86.27 for entity extraction and 81.81 for spatial relationship extraction tasks, with an accuracy of 96.26% in the formalization of logical rules:contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}.",Journal of Environmental Management,10.1016/j.jenvman.2024.123320,,,,,,,,,
Semantic web-based automated compliance checking with integration of Finite Element analysis,Panagiotis Patlakas; Ioannis Christovasilis; Lorenzo Riparbelli; Franco K. T. Cheung; Edlira Vakaj,2024,,"Automatic Compliance Checking (ACC) is a promising response to the challenges involved in meeting building and planning regulations, and increasingly utilised by researchers in the context of Building Information Modelling (BIM) and the Industry Foundation Classes (IFC). However, engineers often use computational methods, such as Finite Element Analysis (FEA), to solve challenging engineering problems. Such methods have received little attention in the context of ACC and BIM. The work presented here proposes a holistic approach, integrating FEA in the IFC schema, and utilising a Semantic Web-based system for ACC. A top-level ontology, the Building Compliance Ontology (BCO), is proposed, with the aim of covering all aspects of compliance in the Built Environment... Compliance is checked automatically by running SHACL scripts in a Semantic Web environment:contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}.",Advanced Engineering Informatics,10.1016/j.aei.2024.102448,,,,,,,,,
Automated Building Information Modeling Compliance Check through a Large Language Model Combined with Deep Learning and Ontology,Nanjiang Chen; Xuhui Lin; Hai Jiang; Yi An,2024,,"Ensuring compliance with complex industry standards and regulations during the design and implementation phases of construction projects is a significant challenge in the building information modeling (BIM) domain. Traditional manual compliance checking methods are inefficient and error-prone, failing to meet modern engineering demands. Natural language processing (NLP) and deep learning methods have improved efficiency and accuracy in rule interpretation and compliance checking. However, these methods still require extensive manual feature engineering, large annotated datasets, and significant computational resources. Large language models (LLMs) provide robust language understanding with minimal labeled data due to their pre-training and few-shot learning capabilities... This study introduces an innovative automated compliance checking framework that integrates LLM, deep learning models, and ontology knowledge models... This novel combination of deep learning and LLM significantly enhances the efficiency and accuracy of compliance checks by automating the processing of regulatory texts and reducing manual intervention:contentReference[oaicite:14]{index=14}:contentReference[oaicite:15]{index=15}.",Buildings,10.3390/buildings14071983,,,,,,,,,
Automated Compliance Checking System for Structural Design Codes in a BIM Environment,Wonhui Goh; Jaeguk Jang; Sang I. Park; Bong-Hyuck Choi; Heuiseok Lim; Goangseup Zi,2024,,"This study proposes a framework for developing an automated compliance checking (ACC) system that supports the verification of structural calculations in openBIM format. The framework consists of four main aspects: (1) classification of design codes depending on structural components and limit states to be checked; (2) preparation of a structural model according to Industry Foundation Classes; (3) interpretation of conditions in design codes into a machine-readable rule language; and (4) design of an ACC system, with a focus on the rule flow in the structural design code. The framework was demonstrated through a detailed example of an ACC system using ifcOWL, SWRL, and the Drools inference engine... The proposed framework can help develop ACC systems in structural engineering and can be customized to meet user requirements and accommodate various data sources and design codes:contentReference[oaicite:16]{index=16}:contentReference[oaicite:17]{index=17}.",KSCE Journal of Civil Engineering,10.1007/s12205-024-1121-5,,,,,,,,,
A SHACL-Based Approach for Enhancing Automated Compliance Checking with RDF Data,Joseph Anim; Livio Robaldo; Adam Z. Wyner,2024,,"Automated Compliance Checking (ACC) has emerged as a critical tool for enforcing legal regulations across various domains. This paper contributes to ongoing research in Semantic Web technologies, particularly focusing on the execution of SHACL-SPARQL rules on RDF data. The RDF, being one of the most widely used knowledge representation formats, serves as the foundation of our approach, ensuring compatibility with existing standards and enhancing interoperability. Our research enhances the aggregate and temporal aspects of ACC by addressing the limitations of traditional ACC methodologies, which often fall short in managing the nuanced temporal and aggregate requirements essential for legal reasoning. Through a case study analysis of selected regulations with aggregate and temporal facets... the findings underscore the potential of Semantic Web technologies to transform ACC practices by moving towards standardized, interoperable solutions:contentReference[oaicite:18]{index=18}:contentReference[oaicite:19]{index=19}.",Information,10.3390/info15120759,,,,,,,,,
Semantic and ontology-based analysis of regulatory documents for construction industry digitalization,Zarina Kabzhan; Alexandr Shakhnovich; Sergey Gorshkov; Yussuf Yemenov; Fedor Gorshkov; Nazym Shogelova,2025,,"In the context of the digitalization of the construction industry, the demand for automation in the analysis of regulatory documents is increasing. The significant volume, structural complexity, and frequent amendments of regulatory acts lead to semantic inconsistencies, duplication of provisions, and contradictions in requirements. The aim of this study is to develop a method for the automated analysis of regulatory documents in the construction sector based on the integration of ontological modeling and natural language processing (NLP) techniques. The study proposes a methodology for constructing semantic “profiles” of regulatory statements, which include structured components: subject, predicate, object, modality, and additional conditions. A software prototype has been developed, implementing an algorithm for semantic matching of regulatory requirements using an ontological model that incorporates SKOS-based terminology, deontic logic, and domain-specific concepts of the construction sector. Experiments were conducted on a corpus of 14 regulatory documents... demonstrating high computational efficiency and acceptable quality metrics (F1-score up to 0.86). The results confirm the applicability of the proposed method for integration into automated regulatory compliance control systems:contentReference[oaicite:20]{index=20}:contentReference[oaicite:21]{index=21}.",Frontiers in Built Environment,10.3389/fbuil.2025.1575913,,,,,,,,,
OntoBPR: An ontology-based framework for performing building permit reviews using standardized information containers,Philipp Hagedorn; Judith Fauth; Sven Zentgraf; Ioannis Brilakis; Sebastian Seiss; Markus König,2025,,"Building permitting is essential for ensuring the safety, sustainability, and societal alignment of construction projects. Despite interest from both practitioners and researchers, the process remains largely manual and fragmented. Ontologies offer a promising solution by managing complexity and enabling automation through semantic information, though current ontologies in the building permit domain are limited to specific aspects like building code checking. On the process level, the OntoBPR framework integrates multiple domain-specific ontologies for a seamless digital permitting process and provides a workflow to automate the lifecycle of the permit review. Therefore, it suggests integrating the submitted building application using standardized information containers. The paper explores how digital applications can be submitted, reviewed, verified for completeness, and forwarded to authorities, and how permit review results can be gathered to support decision-making and automate notification issuance... OntoBPR formalizes a multi-layered ontology that advances and aligns the partitioned building permit process and provides an adaptable framework to harmonize diverse legal, informatics, and procedural aspects:contentReference[oaicite:22]{index=22}:contentReference[oaicite:23]{index=23}.",Advanced Engineering Informatics,10.1016/j.aei.2025.103369,,,,,,,,,
Semi-automatic representation of design code based on knowledge graph for automated compliance checking,Mingsong Yang; Qin Zhao; Lei Zhu; Haining Meng; Kehai Chen; Zongjian Li; Xinhong Hei,2023,https://doi.org/10.1016/j.compind.2023.103945,"Automated compliance checking (ACC) verifies design compliance with building codes. The ability to interpret design codes and formalize them is crucial. This study proposes a knowledge graph-based representation model for design codes, introducing four schemas (order, complex, event, integration) to capture rule structures. It also presents a semi-automatic methodology to extract and formalize code provisions into this knowledge graph model. A case study indicates that the approach enhances the efficiency and accuracy of compliance checking, effectively bridging the gap between textual code requirements and machine-readable rules.",Computers in Industry,,,,,,,,,,
Automated code compliance checking research based on BIM and knowledge graph,Junlong Peng; Xiangjun Liu,2023,https://doi.org/10.1038/s41598-023-34342-1,"Automated code compliance checking plays an important role in moving the construction industry forward. While traditional drawing review relies on experts, this study realizes automatic code review using Building Information Modeling (BIM) and knowledge graph technology. A knowledge graph is used to transform textual code provisions into a computer-recognizable structured format via natural language processing, forming a human–machine-readable knowledge graph of the rules. The BIM model data is exported to RDF (via Protégé), and compliance is checked by mapping the knowledge graph rules to the BIM data. An example case verifies the feasibility of the method. This approach helps eliminate “manual dependency” and “inefficiency” in the review process.",Scientific Reports,,,,,,,,,,
Automated compliance checking for BIM models based on Chinese-NLP and knowledge graph: an integrative conceptual framework,Sihao Li; Jiali Wang; Zhao Xu,2024,https://doi.org/10.1108/ECAM-10-2023-1037,"The compliance checking of BIM models is crucial throughout the construction lifecycle. Increasing model complexity makes manual checks error-prone, so this study proposes an integrative conceptual framework for automated compliance checking of BIM models, enabling identification of model errors. The framework combines ontology, NLP, and knowledge graphs, supported by a custom BIM checking platform. Two case studies validate its functionality and usability, demonstrating higher automation and portability than traditional methods.","Engineering, Construction and Architectural Management",,,,,,,,,,
A SHACL-Based Approach for Enhancing Automated Compliance Checking with RDF Data,Joseph Anim; Livio Robaldo; Adam Z. Wyner,2024,https://doi.org/10.3390/info15120759,"This paper presents a Semantic Web approach to Automated Compliance Checking (ACC) by executing SHACL-SPARQL rules on RDF data. The framework improves ACC by addressing aggregate and temporal requirements, which are often challenging for traditional approaches. A case study demonstrates its effectiveness and highlights the potential of Semantic Web technologies to achieve standardized and interoperable ACC solutions.",Information (MDPI),,,,,,,,,,
Intelligent Checking Method for Construction Schemes via Fusion of Knowledge Graph and Large Language Models,Hao Li; Rongzheng Yang; Shuangshuang Xu; Yao Xiao; Hongyu Zhao,2024,https://doi.org/10.3390/buildings14082502,"This study proposes an intelligent compliance checking method that combines knowledge graphs and large language models (LLMs) to automate construction scheme reviews. A multi-layer knowledge graph of construction standards supports the LLM for reasoning and decision-making. The integrated approach enhances accuracy, demonstrating the potential of LLM-knowledge graph fusion for text-based compliance verification in construction.",Buildings (MDPI),,,,,,,,,,
Knowledge-informed semantic alignment and rule interpretation for automated compliance checking,Zhe Zheng; Yu-Cheng Zhou; Xin-Zheng Lu; Jia-Rui Lin,2022,https://doi.org/10.1016/j.autcon.2022.104524,"This paper introduces a knowledge-informed framework for automated rule interpretation and compliance checking in construction. By leveraging ontologies, semantic alignment techniques, and SPARQL query generation, the method bridges semantic gaps between BIM models and textual regulations. Experiments show improved interpretation accuracy and reduced manual effort, achieving approximately 90% accuracy and outperforming baseline keyword-based approaches.",Automation in Construction,,,,,,,,,,
How Can ChatGPT Help in Automated Building Code Compliance Checking?,Jiansong Zhang,2023,,"One main challenge in the full automation of building code compliance checking is the extraction and transformation of building code requirements into computable representations. In this paper, the author explored the use of ChatGPT for converting building code requirements into computer code, comparing it with a semantic rule-based approach. The preliminary results indicate that while ChatGPT's conversion still has limitations compared to the rule-based approach, it shows great potential to accelerate the implementation and scale-up of automated building code compliance checking systems:contentReference[oaicite:0]{index=0}.",Proceedings of the 40th ISARC (International Symposium on Automation and Robotics in Construction) 2023,,10.22260/ISARC2023/0011,,,,,,,,
A GPT-based method of Automated Compliance Checking through prompt engineering,Xiaoyu Liu; Haijiang Li; Xiaofeng Zhu,2023,,"This research introduces an early application of Generative Pre-trained Transformer (GPT) models for Automated Compliance Checking (ACC) in the AEC industry, requiring no additional domain knowledge or term explanation. The method involves directly inputting building design specifications and corresponding codes into the model, guided by a task-specific prompt, after which GPT generates compliance results. Initial tests on an artificially generated dataset achieved up to 91% accuracy, demonstrating the model’s effectiveness. As one of the first attempts to leverage Large Language Models (LLMs) for AEC challenges, this work provides a practical workflow and dataset for future GPT-based ACC research:contentReference[oaicite:1]{index=1}.",30th European Group for Intelligent Computing in Engineering (EG-ICE 2023) Conference,,https://orca.cardiff.ac.uk/id/eprint/159694,,,,,,,,
Towards Automated Regulatory Compliance Verification in Financial Auditing with Large Language Models,Armin Berger; Lars Hillebrand; David Leonhard; Tobias Deußer; Thiago B. F. de Oliveira; Tim Dilmaghani; Mohamed Khaled; Bernd Kliem; Rüdiger Loitz; Christian Bauckhage; Rafet Sifa,2023,,"Financial document auditing is traditionally labor-intensive. This paper investigates the effectiveness of Large Language Models (LLMs) in automating regulatory compliance checks in financial auditing. The study compares cutting-edge open-source LLMs (e.g., Llama-2) with proprietary models (e.g., GPT-4) using two custom datasets from PricewaterhouseCoopers (PwC) Germany. Results show that the open-source Llama-2 (70B) excels at detecting non-compliance (true negatives), outperforming proprietary counterparts, while GPT-4 performs best across a broad range of scenarios, especially in non-English contexts:contentReference[oaicite:2]{index=2}.",2023 IEEE International Conference on Big Data (BigData 2023) Proceedings,,10.1109/BigData59044.2023.10386518,,,,,,,,
From Automatic to Autonomous: A Large Language Model-driven Approach for Generic Building Compliance Checking,Huaquan Ying; Rafael Sacks,2024,,"Despite decades of development in automated compliance checking (ACC) for building designs, existing systems are limited to specific domains and rule types. The diversity and complexity of design requirements demand an intelligent, autonomous system capable of independent planning and decision-making. Inspired by the capabilities of Large Language Models (LLMs) to handle complex tasks, this study proposes an LLM-based agent for building compliance checking. The LLM agent interprets design requirements, plans the checking process, retrieves relevant BIM data, and executes checks autonomously. A proof-of-concept prototype demonstrated the potential of this LLM-driven approach to achieve more generic and scalable ACC solutions:contentReference[oaicite:3]{index=3}.",CIB W78 2024 Conference (Proc. 2024 International Conference on ICT in AEC),,https://easychair.org/publications/preprint/k2PJ/open,,,,,,,,
Large Language Model-Driven Code Compliance Checking in Building Information Modeling,Soumya Madireddy; Lu Gao; Zia Ud Din; Kinam Kim; Ahmed Senouci; Zhe Han; Yunpeng Zhang,2025,,"This study addresses the time-consuming and error-prone nature of manual building code compliance checking by introducing an approach that integrates Large Language Models (LLMs) with BIM software (Autodesk Revit). The system uses LLMs (e.g., ChatGPT, Claude, Gemini, Llama) to interpret building codes, generate Python scripts, and perform semi-automated compliance checks within the BIM environment. Case studies on a residential house and an office building show that the LLM-driven system reduces the time and effort for compliance checks while improving accuracy. It automates identification of code violations (like non-compliant room dimensions, materials, and placements) and produces actionable reports. Compared to manual methods, the approach eliminates repetitive tasks, simplifies complex regulations, and reliably ensures adherence to standards:contentReference[oaicite:4]{index=4}.","Electronics (MDPI), Volume 14, Issue 11, 2025",,10.3390/electronics14112146,,,,,,,,
Safeguarding Decentralized Social Media: LLM Agents for Automating Community Rule Compliance,Lucio La Cava; Andrea Tagarelli,2025,,"Moderating decentralized social networks is challenging due to heterogeneous communities and vast content. This paper evaluates six AI agents built on open LLMs for automatically checking posts against community rules in decentralized social media (e.g., Mastodon). Analyzing over 50,000 posts across hundreds of servers, the LLM-based agents effectively detect non-compliant content, understand subtle language cues, and adapt to different community contexts. Most agents show high agreement with human moderators in identifying violations and justifying decisions, suggesting these LLM agents are promising tools for semi-automated, human-in-the-loop content moderation systems:contentReference[oaicite:5]{index=5}.","Online Social Networks and Media, Vol. 48 (Sept 2025)",,10.1016/j.osnem.2025.100319,,,,,,,,
